GEOID,distr_name,total_worker_pop,agro,construct,manufact,wholesale,retail,transport_util,info,finance_realest,prof_sci_mgmt_adm,edu_health,arts_ent_food_rec,otherserv,public_admin
5001300US1218,"Congressional District 18 (113th Congress), Florida",293613,2814,23762,15297,6675,40777,14144,4813,21039,37418,65153,31683,16679,13359
5001300US1219,"Congressional District 19 (113th Congress), Florida",275833,2191,23398,9677,6607,42906,11188,4750,23071,34292,53809,39322,14855,9767
5001300US1220,"Congressional District 20 (113th Congress), Florida",308803,4730,19355,12840,7372,45383,16353,5638,20980,38675,69442,36402,17910,13723
5001300US1221,"Congressional District 21 (113th Congress), Florida",314023,1889,20085,15469,10953,44688,12126,6596,28026,45122,67026,31200,18921,11922
5001300US1222,"Congressional District 22 (113th Congress), Florida",338953,3161,23882,16201,11316,42720,14760,7448,31327,53384,61858,40274,20606,12016
5001300US1223,"Congressional District 23 (113th Congress), Florida",345000,831,18317,16072,15113,43062,17874,9388,31784,47205,68788,43733,18860,13973
5001300US1224,"Congressional District 24 (113th Congress), Florida",298730,976,17723,12088,9491,40068,20149,6456,18435,35204,67428,38151,18273,14288
5001300US1225,"Congressional District 25 (113th Congress), Florida",315100,6205,22693,22416,15493,41418,22469,7297,22623,36704,56982,30713,18418,11669
5001300US1226,"Congressional District 26 (113th Congress), Florida",331373,5746,21087,12743,14042,43664,23964,7235,24538,38621,71077,34326,19390,14940
5001300US1227,"Congressional District 27 (113th Congress), Florida",320797,1742,26543,14646,12563,37845,21349,6170,24711,42386,65023,33691,22373,11755
5001300US1301,"Congressional District 1 (113th Congress), Georgia",286743,4172,18957,27316,6559,35611,18631,3879,13296,24316,61756,33284,14167,24799
5001300US1302,"Congressional District 2 (113th Congress), Georgia",252368,8350,14280,27912,5757,30305,12460,3679,16133,18005,60922,22198,13262,19105
5001300US1303,"Congressional District 3 (113th Congress), Georgia",297619,2320,19266,41355,8856,35153,27356,5026,17761,24944,60235,24064,14689,16594
5001300US1304,"Congressional District 4 (113th Congress), Georgia",314647,1186,19157,24979,8280,38768,22471,10464,19596,37304,72414,25459,15918,18651
5001300US1305,"Congressional District 5 (113th Congress), Georgia",321524,573,13327,17849,8765,33702,22242,11792,22378,52528,69829,37567,14783,16189
5001300US1306,"Congressional District 6 (113th Congress), Georgia",361257,1205,19687,27508,13314,37456,12254,16616,34952,74369,62298,35524,16329,9745
5001300US1307,"Congressional District 7 (113th Congress), Georgia",336372,710,26066,32533,14671,42662,13187,12975,28547,50704,55896,29605,20088,8728
5001300US1308,"Congressional District 8 (113th Congress), Georgia",276066,9326,16518,28365,6472,33743,12931,3164,14985,19550,67014,22652,13934,27412
5001300US1309,"Congressional District 9 (113th Congress), Georgia",290725,6145,25706,46098,9482,37892,12524,4893,15271,25547,58159,22478,14748,11782
5001300US1310,"Congressional District 10 (113th Congress), Georgia",294452,5330,19351,33256,9058,36993,16218,5066,14907,25215,73015,24593,15219,16231
